Sr.No,Address,City,State_code,Country,Rental_Price,Deposit
1,"3511 Wendel Cove, Austin, TX 78731, USA Unit A",Austin,TX,USA,199488,
2,"Austin, East Riverside - Oltorf, TX, US",Austin,TX,USA,80211,
3,507 Pressler Street Unit A5A Aspen,Austin,TX,USA,188018,
4,"4508 Night Owl Lane, Austin, TX 78723, USA",Austin,TX,USA,349104,
5,"TX, US",Austin,TX,USA,84617,
6,"unnamed road, Austin, TX 78731, USA",Austin,TX,USA,153772,
7,15204 Kookaburra Path,Austin,TX,USA,232736,232736
8,14524 Regents Walk,Austin,TX,USA,174137,
9,"6616 Tasajillo Trail, Austin, TX 78739, USA",Austin,TX,USA,268062,
10,"Austin, TX",Austin,TX,USA,251854,
11,"720 Harris Avenue, Austin, TX 78705, USA",Austin,TX,USA,374040,
12,"4525 Depew Avenue, Austin, TX 78751, USA",Austin,TX,USA,498720,
13,"Austin, TX",Austin,TX,USA,241880,
14,"4413 Cross Valley Run, Austin, TX 78731, USA",Austin,TX,USA,415600,
15,"99 Valley Creek Drive, Williamson County, TX 78664, USA",Austin,TX,USA,299232,
16,"13902 Panorama Drive, Travis County, TX 78732, USA",Austin,TX,USA,971258,
17,"Austin, TX",Austin,TX,USA,428900,
18,"8107 West Court, Austin, TX 78759, USA",Austin,TX,USA,536124,
19,"14707 Little Fox Trail, Travis County, TX 78734, USA",Austin,TX,USA,415600,
20,"Austin, TX",Austin,TX,USA,251854,
21,"Carriage Pines Drive, Austin, TX 78714, USA",Austin,TX,USA,174552,
22,"1383 Joyce Lane, Round Rock, TX 78664, USA",Austin,TX,USA,189098,
23,"Austin, TX",Austin,TX,USA,2072182,
24,"7112 Razors Edge Drive, Austin, TX 78744, USA",Austin,TX,USA,207800,
25,"Austin, TX",Austin,TX,USA,371547,
26,"Austin, TX",Austin,TX,USA,603452,
27,"11320 Church Canyon Drive, Austin, TX 78754, USA",Austin,TX,USA,190761,
28,"2505 San Gabriel Street, Austin, TX 78705, USA",Austin,TX,USA,187020,
29,"1122 Hollow Creek Drive, Austin, TX 78704, USA",Austin,TX,USA,228580,
30,"Milwood Trail, Austin, TX, USA",Austin,TX,USA,178708,
31,"Austin, TX",Austin,TX,USA,1994880,
32,"13325 Alysheba Drive, Austin, TX 78617, USA",Austin,TX,USA,182864,
33,"7403 Glenhill Road, Austin, TX 78752, USA",Austin,TX,USA,249360,
34,"1010 West 26th Street, Austin, TX 78799, USA",Austin,TX,USA,120524,
35,"1620 Waterston Avenue, Austin, TX 78703, USA",Austin,TX,USA,95505,
