Sr.No,No_of_Bed,No_of_Bathroom,Area,Pets_allowed
1,2.0,3.0,1176.0,Yes
2,1.0,1.0,672.0,Yes
3,1.0,1.0,985.0,Yes
4,4.0,3.0,2571.0,No
5,1.0,1.0,673.0,Yes
6,2.0,1.5,1158.0,No
7,4.0,3.0,2508.0,Yes
8,3.0,2.0,,No
9,3.0,3.5,2671.0,No
10,,1.0,507.0,Yes
11,3.0,2.0,1380.0,No
12,6.0,3.0,2379.0,No
13,1.0,1.0,626.0,No
14,4.0,4.5,3300.0,No
15,4.0,3.5,3200.0,No
16,3.0,2.5,3066.0,Yes
17,1.0,1.0,727.0,Yes
18,3.0,3.0,2155.0,No
19,3.0,2.5,2499.0,No
20,1.0,1.0,669.0,Yes
21,4.0,2.0,1892.0,No
22,3.0,2.5,1478.0,No
23,7.0,7.0,3550.0,No
24,4.0,2.5,2240.0,No
25,3.0,3.0,1476.0,Yes
26,2.0,1.0,3500.0,No
27,4.0,2.5,2520.0,No
28,2.0,2.0,980.0,No
29,2.0,1.5,989.0,No
30,3.0,2.0,1221.0,No
31,4.0,2.0,2178.0,Yes
32,4.0,2.5,1742.0,No
33,3.0,2.0,1731.0,No
34,1.0,1.0,450.0,No
35,1.0,1.0,437.0,No
36,,,,No
37,2.0,2.0,1130.0,Yes
38,3.0,2.0,,No
39,4.0,3.5,2396.0,No
40,,,,No
41,2.0,2.0,1446.0,Yes
42,,,,No
43,3.0,2.0,1372.0,Yes
44,4.0,2.0,2296.0,No
45,6.0,3.0,2537.0,No
46,4.0,2.0,2086.0,Yes
47,,,,No
48,1.0,1.0,450.0,No
49,2.0,2.0,1030.0,Yes
50,6.0,4.0,2471.0,No
51,3.0,2.5,1577.0,No
52,8.0,6.0,3223.0,Yes
53,3.0,2.5,1816.0,No
54,1.0,1.0,,No
55,5.0,4.0,2600.0,Yes
56,1.0,1.0,850.0,No
57,7.0,5.0,4300.0,No
58,3.0,3.0,2800.0,No
59,,,,No
60,3.0,2.5,1137.0,No
61,1.0,1.0,357.0,Yes
62,4.0,3.0,2025.0,No
63,,,,No
64,,,,No
65,,,,No
66,2.0,2.0,940.0,No
67,1.0,1.0,600.0,No
68,3.0,,1779.0,No
69,3.0,2.0,1472.0,No
70,2.0,1.0,728.0,No
71,1.0,1.0,650.0,No
72,1.0,1.0,685.0,Yes
73,3.0,2.0,1000.0,No
74,3.0,2.5,1406.0,Yes
75,4.0,3.5,3299.0,No
76,1.0,1.0,695.0,Yes
77,3.0,2.5,2160.0,No
78,2.0,1.0,749.0,No
79,3.0,2.0,1267.0,No
80,,,,No
81,4.0,3.0,2242.0,Yes
82,2.0,2.0,,Yes
83,2.0,1.0,1500.0,No
84,1.0,1.0,739.0,Yes
85,,,,No
86,2.0,2.0,,No
87,2.0,2.0,1083.0,No
88,3.0,2.0,1600.0,No
89,2.0,2.0,,No
90,,,,No
91,2.0,1.0,745.0,Yes
92,4.0,2.0,,No
93,3.0,3.0,1906.0,No
94,4.0,3.5,3033.0,No
95,3.0,2.0,1555.0,No
96,4.0,2.5,2644.0,Yes
97,1.0,1.0,,Yes
98,1.0,1.0,650.0,Yes
99,1.0,1.0,875.0,Yes
100,5.0,5.0,,No
101,1.0,1.0,369.0,No
102,4.0,3.0,3288.0,No
103,3.0,2.0,1687.0,No
104,2.0,1.0,1000.0,No
105,3.0,1.0,932.0,No
106,5.0,5.5,4740.0,No
107,1.0,1.0,770.0,No
108,2.0,2.0,1147.0,No
109,4.0,2.5,1986.0,No
110,1.0,1.0,533.0,No
111,2.0,2.0,1100.0,Yes
112,1.0,1.0,624.0,No
