Sr.No,Washer_Dryer,AC,Parking,Fireplace,Dishwasher,Hardwood_floors,Roofdeck,Storage
1,No,Yes,No,Yes,Yes,Yes,No,Yes
2,No,No,Yes,Yes,Yes,No,No,Yes
3,Yes,Yes,Yes,Yes,No,No,Yes,Yes
4,No,Yes,Yes,No,No,No,No,No
5,Yes,No,Yes,No,Yes,No,No,Yes
6,Yes,Yes,No,Yes,Yes,Yes,No,No
7,Yes,Yes,Yes,Yes,Yes,Yes,No,No
8,No,Yes,Yes,No,No,No,No,No
9,Yes,Yes,Yes,No,No,No,No,No
10,Yes,Yes,Yes,Yes,Yes,No,No,No
11,No,Yes,Yes,No,No,No,No,No
12,No,Yes,Yes,No,No,No,No,No
13,Yes,Yes,Yes,Yes,Yes,No,Yes,No
14,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,No,No,No,No,No,No,No,No
16,Yes,Yes,Yes,Yes,Yes,No,No,No
17,Yes,Yes,Yes,Yes,Yes,No,Yes,No
18,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
19,Yes,Yes,Yes,Yes,Yes,No,No,No
20,Yes,Yes,Yes,Yes,Yes,No,No,Yes
21,No,Yes,Yes,No,Yes,No,No,No
22,Yes,Yes,Yes,No,No,No,No,No
23,Yes,Yes,Yes,Yes,Yes,No,No,No
24,No,Yes,Yes,No,No,No,No,No
25,Yes,Yes,Yes,Yes,Yes,No,No,No
26,Yes,Yes,Yes,Yes,Yes,No,No,No
27,No,Yes,Yes,Yes,Yes,No,Yes,No
28,Yes,No,No,No,No,No,No,No
29,Yes,Yes,Yes,No,No,No,No,No
30,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
31,Yes,Yes,Yes,Yes,Yes,Yes,No,No
32,Yes,Yes,Yes,Yes,Yes,No,No,No
33,No,Yes,Yes,No,Yes,Yes,Yes,No
34,No,No,Yes,No,No,No,No,No
35,Yes,No,Yes,No,No,No,No,No
36,Yes,Yes,Yes,Yes,No,No,No,No
37,Yes,Yes,Yes,Yes,Yes,Yes,No,No
38,Yes,Yes,Yes,No,No,No,No,No
39,No,No,Yes,Yes,No,No,No,Yes
40,No,No,Yes,No,No,Yes,No,No
41,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
42,Yes,Yes,Yes,Yes,No,No,No,No
43,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
44,No,Yes,Yes,No,Yes,Yes,Yes,Yes
45,No,Yes,Yes,No,No,No,No,No
46,Yes,Yes,Yes,Yes,Yes,Yes,No,No
47,Yes,Yes,Yes,No,No,Yes,No,No
48,Yes,Yes,Yes,Yes,Yes,No,No,No
49,No,Yes,Yes,No,No,No,No,No
50,No,Yes,No,No,No,No,No,No
51,Yes,Yes,Yes,Yes,Yes,No,No,Yes
52,Yes,Yes,Yes,Yes,Yes,No,No,No
53,Yes,Yes,Yes,Yes,Yes,No,No,No
54,Yes,Yes,Yes,Yes,Yes,No,No,No
55,Yes,Yes,Yes,Yes,Yes,No,No,No
56,No,No,Yes,No,No,No,No,No
57,Yes,Yes,Yes,Yes,Yes,No,No,No
58,Yes,Yes,Yes,Yes,Yes,No,No,No
59,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
60,Yes,Yes,Yes,Yes,Yes,Yes,No,No
61,Yes,No,Yes,No,Yes,No,No,No
62,Yes,Yes,Yes,Yes,Yes,No,No,No
63,No,Yes,Yes,Yes,No,No,No,No
64,No,Yes,No,No,No,No,Yes,Yes
65,No,No,Yes,No,No,No,No,No
66,No,Yes,Yes,Yes,Yes,No,Yes,No
67,Yes,Yes,Yes,Yes,Yes,No,No,Yes
68,No,Yes,Yes,No,No,No,No,No
69,Yes,No,Yes,No,No,No,No,No
70,No,Yes,Yes,No,No,No,No,No
71,Yes,Yes,Yes,Yes,Yes,No,Yes,No
72,No,Yes,Yes,No,Yes,No,No,Yes
73,Yes,Yes,Yes,Yes,Yes,No,No,No
74,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
75,No,No,Yes,No,No,No,No,No
76,Yes,Yes,Yes,Yes,Yes,No,Yes,No
77,No,Yes,Yes,No,No,No,No,No
78,Yes,Yes,No,Yes,Yes,Yes,No,Yes
79,Yes,Yes,No,Yes,Yes,No,Yes,No
80,No,Yes,Yes,Yes,No,No,No,Yes
81,Yes,Yes,Yes,Yes,Yes,Yes,No,No
82,Yes,Yes,Yes,Yes,Yes,No,No,No
83,Yes,Yes,Yes,Yes,Yes,No,No,No
84,Yes,Yes,Yes,Yes,Yes,No,No,No
85,Yes,Yes,Yes,No,No,Yes,No,No
86,Yes,Yes,Yes,Yes,Yes,No,No,No
87,No,No,No,No,No,No,No,No
88,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
89,Yes,Yes,Yes,Yes,Yes,No,No,No
90,Yes,Yes,Yes,Yes,Yes,No,No,Yes
91,No,No,No,No,No,No,No,No
92,Yes,Yes,Yes,Yes,Yes,No,No,No
93,No,No,Yes,No,No,No,No,No
94,No,Yes,Yes,No,No,No,No,No
95,No,Yes,No,No,No,No,No,No
96,No,Yes,Yes,Yes,Yes,Yes,No,No
97,Yes,Yes,Yes,Yes,Yes,No,No,No
98,Yes,Yes,Yes,Yes,Yes,No,No,No
99,Yes,Yes,Yes,No,Yes,No,No,No
100,Yes,Yes,Yes,Yes,Yes,No,No,No
101,No,No,Yes,No,No,No,No,No
102,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
103,Yes,Yes,Yes,Yes,Yes,No,No,No
104,Yes,Yes,Yes,Yes,Yes,No,No,No
105,No,Yes,Yes,Yes,Yes,Yes,Yes,No
106,No,Yes,No,Yes,Yes,Yes,Yes,No
107,No,Yes,No,No,No,No,No,No
108,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
109,Yes,Yes,Yes,Yes,Yes,No,Yes,No
110,No,No,No,No,No,No,No,No
111,Yes,Yes,Yes,Yes,Yes,No,No,No
112,Yes,Yes,Yes,Yes,Yes,No,No,No
113,No,No,Yes,No,Yes,Yes,No,No
114,Yes,Yes,Yes,Yes,Yes,No,No,No
115,No,No,Yes,No,No,No,No,No
116,Yes,No,Yes,No,Yes,Yes,No,No
117,No,No,Yes,No,No,No,No,Yes
118,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
119,Yes,Yes,Yes,Yes,Yes,No,No,No
120,No,Yes,Yes,No,No,No,No,No
121,Yes,No,No,No,No,No,No,No
122,No,Yes,Yes,No,No,No,No,No
123,Yes,Yes,Yes,Yes,Yes,No,Yes,No
124,No,No,No,No,No,Yes,No,No
125,No,Yes,No,No,No,No,No,No
126,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
127,No,No,Yes,Yes,Yes,No,No,Yes
128,No,Yes,Yes,No,No,No,No,No
129,Yes,Yes,No,Yes,Yes,Yes,No,No
130,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
131,Yes,Yes,Yes,Yes,Yes,No,No,No
132,Yes,Yes,Yes,Yes,Yes,Yes,No,No
133,Yes,Yes,Yes,Yes,Yes,No,No,No
134,Yes,Yes,Yes,Yes,No,Yes,No,Yes
135,Yes,Yes,Yes,Yes,Yes,No,No,No
136,No,No,No,No,No,No,No,No
137,Yes,Yes,Yes,Yes,Yes,No,No,No
138,Yes,Yes,Yes,Yes,Yes,No,No,No
139,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
140,Yes,Yes,Yes,Yes,Yes,No,No,No
141,No,Yes,Yes,No,No,No,No,No
142,Yes,Yes,Yes,Yes,Yes,No,No,No
143,No,Yes,Yes,No,No,No,No,No
144,Yes,Yes,Yes,Yes,Yes,No,No,No
145,No,No,No,No,No,No,No,No
146,Yes,Yes,Yes,Yes,Yes,No,No,No
147,No,Yes,Yes,Yes,Yes,Yes,No,Yes
148,Yes,Yes,Yes,No,No,No,No,No
149,No,Yes,Yes,No,No,No,No,No
150,No,Yes,No,No,No,No,No,No
151,Yes,Yes,No,Yes,No,Yes,No,Yes
152,Yes,No,Yes,No,No,No,No,No
153,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
154,Yes,Yes,Yes,Yes,Yes,No,No,No
155,Yes,Yes,Yes,Yes,Yes,No,No,Yes
156,Yes,Yes,Yes,Yes,Yes,No,No,No
157,Yes,Yes,Yes,Yes,Yes,Yes,No,No
158,Yes,Yes,Yes,No,Yes,No,Yes,No
159,No,No,No,No,No,Yes,No,No
160,No,Yes,Yes,No,No,No,No,No
161,No,Yes,No,No,No,No,No,No
162,Yes,Yes,Yes,Yes,Yes,Yes,No,No
163,No,Yes,Yes,No,No,No,No,No
164,Yes,Yes,Yes,Yes,Yes,No,No,No
165,No,Yes,Yes,No,No,No,No,No
166,Yes,Yes,Yes,Yes,Yes,No,No,No
167,Yes,Yes,Yes,No,No,No,No,No
168,No,Yes,No,No,No,No,No,No
169,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
170,No,No,No,No,No,No,No,No
171,No,Yes,Yes,No,No,No,No,No
172,Yes,Yes,Yes,Yes,Yes,No,No,Yes
173,Yes,Yes,Yes,Yes,Yes,No,No,No
174,No,Yes,Yes,No,Yes,No,Yes,No
175,Yes,Yes,Yes,Yes,Yes,No,No,No
176,No,Yes,Yes,No,No,No,No,No
177,No,Yes,Yes,No,No,No,No,No
178,No,No,No,No,No,No,No,No
179,Yes,Yes,Yes,Yes,Yes,No,Yes,No
180,No,Yes,Yes,No,No,No,No,No
181,Yes,Yes,Yes,Yes,Yes,No,No,No
182,No,Yes,Yes,No,No,No,No,No
183,Yes,Yes,Yes,Yes,Yes,No,No,No
184,Yes,No,Yes,No,No,No,No,No
185,Yes,Yes,Yes,Yes,Yes,No,Yes,No
186,No,Yes,Yes,No,No,No,No,No
187,No,Yes,No,No,No,No,No,No
188,No,Yes,Yes,Yes,No,No,No,No
189,Yes,Yes,Yes,No,No,No,No,Yes
190,Yes,Yes,Yes,Yes,Yes,No,No,No
191,No,Yes,Yes,No,No,No,No,No
192,Yes,Yes,Yes,Yes,Yes,No,No,No
193,Yes,No,Yes,No,No,No,No,No
194,No,Yes,Yes,No,No,No,No,No
195,No,Yes,Yes,No,No,No,No,No
196,Yes,No,Yes,Yes,No,No,No,No
197,Yes,Yes,Yes,Yes,Yes,No,No,No
198,No,Yes,Yes,Yes,Yes,No,Yes,No
199,Yes,No,Yes,No,No,No,No,No
200,No,Yes,Yes,No,No,No,No,No
201,No,Yes,Yes,No,No,No,No,No
202,No,Yes,No,No,No,Yes,No,No
203,No,Yes,Yes,No,No,No,No,No
204,Yes,Yes,No,No,No,No,No,No
205,Yes,No,Yes,No,No,No,Yes,Yes
206,Yes,Yes,Yes,Yes,Yes,No,No,No
207,Yes,No,Yes,No,No,Yes,No,No
208,No,No,No,No,No,No,No,No
209,Yes,Yes,Yes,Yes,Yes,No,No,No
210,Yes,Yes,Yes,Yes,Yes,No,No,Yes
211,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
212,Yes,Yes,Yes,No,Yes,No,No,No
213,Yes,Yes,Yes,Yes,Yes,No,No,No
214,No,Yes,Yes,No,No,No,No,No
215,No,Yes,Yes,Yes,No,No,No,Yes
216,No,No,Yes,No,No,No,No,No
217,Yes,Yes,Yes,Yes,Yes,No,No,No
218,Yes,Yes,Yes,Yes,Yes,No,No,Yes
219,No,No,No,No,No,No,No,No
220,Yes,Yes,Yes,Yes,Yes,No,No,No
221,Yes,Yes,Yes,Yes,Yes,No,No,No
222,No,Yes,Yes,No,No,No,No,Yes
223,No,Yes,Yes,Yes,Yes,Yes,No,Yes
224,No,Yes,No,No,No,No,No,No
225,Yes,Yes,Yes,Yes,Yes,No,No,No
226,Yes,Yes,Yes,Yes,Yes,No,No,No
227,Yes,Yes,No,Yes,No,No,No,Yes
228,No,Yes,Yes,No,No,No,No,No
229,Yes,Yes,Yes,Yes,Yes,No,No,No
230,Yes,Yes,Yes,Yes,Yes,No,Yes,No
231,Yes,Yes,Yes,Yes,Yes,No,Yes,No
232,Yes,Yes,Yes,Yes,Yes,Yes,No,No
233,Yes,Yes,Yes,Yes,Yes,No,No,No
234,No,Yes,Yes,No,No,No,No,Yes
235,No,No,No,No,No,No,No,No
236,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
237,Yes,Yes,Yes,No,Yes,No,Yes,No
238,Yes,Yes,Yes,Yes,Yes,No,No,Yes
239,Yes,Yes,Yes,Yes,Yes,No,No,Yes
240,Yes,No,Yes,No,No,No,No,No
241,No,Yes,Yes,No,No,No,No,No
242,No,Yes,Yes,Yes,Yes,No,Yes,No
243,Yes,Yes,Yes,Yes,No,No,No,No
244,Yes,Yes,Yes,Yes,Yes,No,No,No
245,No,No,No,No,No,No,No,No
246,Yes,Yes,Yes,No,No,No,Yes,No
247,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
248,No,Yes,Yes,No,No,No,No,No
249,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
250,Yes,No,Yes,No,No,No,No,Yes
251,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
252,Yes,Yes,Yes,Yes,Yes,No,No,No
253,No,Yes,No,No,No,No,No,No
254,Yes,Yes,Yes,Yes,Yes,No,No,No
255,Yes,Yes,Yes,Yes,Yes,No,No,No
256,No,Yes,Yes,No,Yes,No,No,No
257,Yes,Yes,Yes,Yes,Yes,No,No,No
258,No,Yes,No,No,No,No,No,No
259,Yes,Yes,Yes,Yes,Yes,No,No,No
260,Yes,Yes,Yes,Yes,Yes,No,No,No
261,Yes,Yes,No,No,No,No,No,No
262,Yes,Yes,Yes,No,No,No,No,No
263,Yes,Yes,Yes,No,Yes,No,No,No
264,Yes,Yes,Yes,Yes,Yes,No,No,No
265,Yes,Yes,Yes,Yes,Yes,No,No,No
266,Yes,Yes,Yes,Yes,Yes,No,No,Yes
267,Yes,Yes,Yes,Yes,Yes,No,No,No
268,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
269,Yes,Yes,Yes,Yes,Yes,No,No,No
270,No,No,Yes,Yes,Yes,No,No,No
271,Yes,Yes,Yes,Yes,Yes,No,No,No
272,No,Yes,Yes,Yes,No,No,No,Yes
273,Yes,Yes,Yes,Yes,No,Yes,No,No
274,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
275,Yes,No,Yes,Yes,No,No,No,Yes
276,Yes,Yes,Yes,Yes,Yes,No,No,No
277,Yes,Yes,Yes,Yes,Yes,No,No,Yes
278,Yes,Yes,Yes,Yes,Yes,No,No,No
279,Yes,No,Yes,Yes,No,No,Yes,No
280,Yes,Yes,Yes,Yes,No,Yes,No,No
281,Yes,Yes,Yes,Yes,Yes,No,No,No
282,Yes,Yes,Yes,Yes,Yes,No,No,No
283,Yes,Yes,Yes,No,Yes,No,No,Yes
284,Yes,Yes,Yes,Yes,Yes,No,No,No
285,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
286,Yes,Yes,Yes,Yes,No,No,No,No
287,No,Yes,No,Yes,No,No,No,Yes
288,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
289,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
290,No,Yes,No,Yes,No,No,No,Yes
291,Yes,Yes,Yes,Yes,No,Yes,No,Yes
